,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,공란,ID,이름,,ID,이름,금액,,,,,번호,이름
,,,401056,분홍 장미 씨앗,,401096,하얀 연꽃 씨앗,57,,,,,,
,,,401057,검은 장미 씨앗,,401097,빨간 해바라기 씨앗,15,,,,,,
,,,401058,하얀 장미 씨앗,,401098,주황 해바라기 씨앗,15,,,,,,
,,,401059,무지개 장미 씨앗,,401099,노란 해바라기 씨앗,15,,,,,,
,,,401060,빨간 카네이션 씨앗,,401100,검은 해바라기 씨앗,15,,,,,,
,,,401061,주황 카네이션 씨앗,,401101,하얀 해바라기 씨앗,15,,,,,,
,,,401062,노란 카네이션 씨앗,,401102, 씨앗,0,,,,,,
,,,401063,초록 카네이션 씨앗,,402001,빨간 거베라,32,,,,,,
,,,401064,보라 카네이션 씨앗,,402002,주황 거베라,32,,,,,,
,,,401065,분홍 카네이션 씨앗,,402003,노란 거베라,32,,,,,,
,,,401066,하얀 카네이션 씨앗,,402004,분홍 거베라,32,,,,,,
,,,401067,빨간 코스모스 씨앗,,402005,하얀 거베라,32,,,,,,
,,,401068,주황 코스모스 씨앗,,402006,빨간 국화,15,,,,,,
,,,401069,노란 코스모스 씨앗,,402007,노란 국화,15,,,,,,
,,,401070,분홍 코스모스 씨앗,,402008,초록 국화,15,,,,,,
,,,401071,검은 코스모스 씨앗,,402009,보라 국화,15,,,,,,
,,,401072,하얀 코스모스 씨앗,,402010,분홍 국화,15,,,,,,
,,,401073,빨간 튤립 씨앗,,402011,하얀 국화,15,,,,,,
,,,401074,주황 튤립 씨앗,,402012,파란 델피늄,50,,,,,,
,,,401075,노란 튤립 씨앗,,402013,보라 델피늄,50,,,,,,
,,,401076,보라 튤립 씨앗,,402014,분홍 델피늄,50,,,,,,
,,,401077,분홍 튤립 씨앗,,402015,하얀 델피늄,50,,,,,,
,,,401078,검은 튤립 씨앗,,402016,빨간 라넌큘러스,15,,,,,,
,,,401079,하얀 튤립 씨앗,,402017,주황 라넌큘러스,15,,,,,,
,,,401080,빨간 프리지아 씨앗,,402018,노란 라넌큘러스,15,,,,,,
,,,401081,노란 프리지아 씨앗,,402019,초록 라넌큘러스,15,,,,,,
,,,401082,보라 프리지아 씨앗,,402020,보라 라넌큘러스,15,,,,,,
,,,401083,분홍 프리지아 씨앗,,402021,분홍 라넌큘러스,15,,,,,,
,,,401084,하얀 프리지아 씨앗,,402022,하얀 라넌큘러스,15,,,,,,
,,,401085,빨간 히아신스 씨앗,,402023,노란 리시안셔스,22,,,,,,
,,,401086,주황 히아신스 씨앗,,402024,초록 리시안셔스,22,,,,,,
,,,401087,노란 히아신스 씨앗,,402025,보라 리시안셔스,22,,,,,,
,,,401088,파란 히아신스 씨앗,,402026,분홍 리시안셔스,22,,,,,,
,,,401089,보라 히아신스 씨앗,,402027,하얀 리시안셔스,22,,,,,,
,,,401090,분홍 히아신스 씨앗,,402028,빨간 백합,15,,,,,,
,,,401091,하얀 히아신스 씨앗,,402029,주황 백합,15,,,,,,
,,,401092,노란 연꽃 씨앗,,402030,노란 백합,15,,,,,,
,,,401093,파란 연꽃 씨앗,,402031,분홍 백합,15,,,,,,
,,,401094,보라 연꽃 씨앗,,402032,검은 백합,15,,,,,,
,,,401095,분홍 연꽃 씨앗,,402033,하얀 백합,15,,,,,,
,,,401096,하얀 연꽃 씨앗,,402034,빨간 수국,85,,,,,,
,,,401097,빨간 해바라기 씨앗,,402035,초록 수국,85,,,,,,
,,,401098,주황 해바라기 씨앗,,402036,파란 수국,85,,,,,,
,,,401099,노란 해바라기 씨앗,,402037,보라 수국,85,,,,,,
,,,401100,검은 해바라기 씨앗,,402038,분홍 수국,85,,,,,,
,,,401101,하얀 해바라기 씨앗,,402039,하얀 수국,85,,,,,,
,,,401102, 씨앗,,402040,빨간 아네모네,15,,,,,,
,,,402001,빨간 거베라,,402041,주황 아네모네,15,,,,,,
,,,402002,주황 거베라,,402042,파란 아네모네,15,,,,,,
,,,402003,노란 거베라,,402043,보라 아네모네,15,,,,,,
,,,402004,분홍 거베라,,402044,분홍 아네모네,15,,,,,,
,,,402005,하얀 거베라,,402045,하얀 아네모네,15,,,,,,
,,,402006,빨간 국화,,402046,빨간 작약,100,,,,,,
,,,402007,노란 국화,,402047,노란 작약,100,,,,,,
,,,402008,초록 국화,,402048,분홍 작약,100,,,,,,
,,,402009,보라 국화,,402049,하얀 작약,100,,,,,,
,,,402010,분홍 국화,,402050,빨간 장미,30,,,,,,
,,,402011,하얀 국화,,402051,주황 장미,30,,,,,,
,,,402012,파란 델피늄,,402052,노란 장미,30,,,,,,
,,,402013,보라 델피늄,,402053,초록 장미,30,,,,,,
,,,402014,분홍 델피늄,,402054,파란 장미,30,,,,,,
,,,402015,하얀 델피늄,,402055,보라 장미,30,,,,,,
,,,402016,빨간 라넌큘러스,,402056,분홍 장미,30,,,,,,
,,,402017,주황 라넌큘러스,,402057,검은 장미,30,,,,,,
,,,402018,노란 라넌큘러스,,402058,하얀 장미,30,,,,,,
,,,402019,초록 라넌큘러스,,402059,무지개 장미,30,,,,,,
,,,402020,보라 라넌큘러스,,402060,빨간 카네이션,12,,,,,,
,,,402021,분홍 라넌큘러스,,402061,주황 카네이션,12,,,,,,
,,,402022,하얀 라넌큘러스,,402062,노란 카네이션,12,,,,,,
,,,402023,노란 리시안셔스,,402063,초록 카네이션,12,,,,,,
,,,402024,초록 리시안셔스,,402064,보라 카네이션,12,,,,,,
,,,402025,보라 리시안셔스,,402065,분홍 카네이션,12,,,,,,
,,,402026,분홍 리시안셔스,,402066,하얀 카네이션,12,,,,,,
,,,402027,하얀 리시안셔스,,402067,빨간 코스모스,5,,,,,,
,,,402028,빨간 백합,,402068,주황 코스모스,5,,,,,,
,,,402029,주황 백합,,402069,노란 코스모스,5,,,,,,
,,,402030,노란 백합,,402070,분홍 코스모스,5,,,,,,
,,,402031,분홍 백합,,402071,검은 코스모스,5,,,,,,
,,,402032,검은 백합,,402072,하얀 코스모스,5,,,,,,
,,,402033,하얀 백합,,402073,빨간 튤립,10,,,,,,
,,,402034,빨간 수국,,402074,주황 튤립,10,,,,,,
,,,402035,초록 수국,,402075,노란 튤립,10,,,,,,
,,,402036,파란 수국,,402076,보라 튤립,10,,,,,,
,,,402037,보라 수국,,402077,분홍 튤립,10,,,,,,
,,,402038,분홍 수국,,402078,검은 튤립,10,,,,,,
,,,402039,하얀 수국,,402079,하얀 튤립,10,,,,,,
,,,402040,빨간 아네모네,,402080,빨간 프리지아,10,,,,,,
,,,402041,주황 아네모네,,402081,노란 프리지아,10,,,,,,
,,,402042,파란 아네모네,,402082,보라 프리지아,10,,,,,,
,,,402043,보라 아네모네,,402083,분홍 프리지아,10,,,,,,
,,,402044,분홍 아네모네,,402084,하얀 프리지아,10,,,,,,
,,,402045,하얀 아네모네,,402085,빨간 히아신스,18,,,,,,
,,,402046,빨간 작약,,402086,주황 히아신스,18,,,,,,
,,,402047,노란 작약,,402087,노란 히아신스,18,,,,,,
,,,402048,분홍 작약,,402088,파란 히아신스,18,,,,,,
,,,402049,하얀 작약,,402089,보라 히아신스,18,,,,,,
,,,402050,빨간 장미,,402090,분홍 히아신스,18,,,,,,
,,,402051,주황 장미,,402091,하얀 히아신스,18,,,,,,
,,,402052,노란 장미,,402092,노란 연꽃,45,,,,,,
,,,402053,초록 장미,,402093,파란 연꽃,45,,,,,,
,,,402054,파란 장미,,402094,보라 연꽃,45,,,,,,
,,,402055,보라 장미,,402095,분홍 연꽃,45,,,,,,
,,,402056,분홍 장미,,402096,하얀 연꽃,45,,,,,,
,,,402057,검은 장미,,402097,빨간 해바라기,7,,,,,,
,,,402058,하얀 장미,,402098,주황 해바라기,7,,,,,,
,,,402059,무지개 장미,,402099,노란 해바라기,7,,,,,,
,,,402060,빨간 카네이션,,402100,검은 해바라기,7,,,,,,
,,,402061,주황 카네이션,,402101,하얀 해바라기,7,,,,,,
,,,402062,노란 카네이션,,402102,,,,,,,,
,,,402063,초록 카네이션,,402103,,,,,,,,
,,,402064,보라 카네이션,,403001,돌,100,,,,,,
,,,402065,분홍 카네이션,,403002,동 광석,100,,,,,,
,,,402066,하얀 카네이션,,403003,철 광석,100,,,,,,
,,,402067,빨간 코스모스,,403004,은 광석,100,,,,,,
,,,402068,주황 코스모스,,403005,금 광석,100,,,,,,
,,,402069,노란 코스모스,,403006,백금 광석,100,,,,,,
,,,402070,분홍 코스모스,,403007,아다만티움 광석,100,,,,,,
,,,402071,검은 코스모스,,403008,오리할콘 광석,100,,,,,,
,,,402072,하얀 코스모스,,404001,동 주괴,100,,,,,,
,,,402073,빨간 튤립,,404002,철 주괴,100,,,,,,
,,,402074,주황 튤립,,404003,은 주괴,100,,,,,,
,,,402075,노란 튤립,,404004,금 주괴,100,,,,,,
,,,402076,보라 튤립,,404005,백금 주괴,100,,,,,,
,,,402077,분홍 튤립,,404006,아다만티움 주괴,100,,,,,,
,,,402078,검은 튤립,,404007,오리할콘 주괴,100,,,,,,
,,,402079,하얀 튤립,,405001,루비 원석,100,,,,,,
,,,402080,빨간 프리지아,,405002,호박 원석,100,,,,,,
,,,402081,노란 프리지아,,405003,토파즈 원석,100,,,,,,
,,,402082,보라 프리지아,,405004,에메랄드 원석,100,,,,,,
,,,402083,분홍 프리지아,,405005,사파이어 원석,100,,,,,,
,,,402084,하얀 프리지아,,405006,자수정 원석,100,,,,,,
,,,402085,빨간 히아신스,,405007,모가나이트 원석,100,,,,,,
,,,402086,주황 히아신스,,405008,옵시디언 원석,100,,,,,,
,,,402087,노란 히아신스,,405009,다이아몬드 원석,100,,,,,,
,,,402088,파란 히아신스,,405010,오팔 원석,100,,,,,,
,,,402089,보라 히아신스,,406001,루비,100,,,,,,
,,,402090,분홍 히아신스,,406002,호박,100,,,,,,
,,,402091,하얀 히아신스,,406003,토파즈,100,,,,,,
,,,402092,노란 연꽃,,406004,에메랄드,100,,,,,,
,,,402093,파란 연꽃,,406005,사파이어,100,,,,,,
,,,402094,보라 연꽃,,406006,자수정,100,,,,,,
,,,402095,분홍 연꽃,,406007,모가나이트,100,,,,,,
,,,402096,하얀 연꽃,,406008,옵시디언,100,,,,,,
,,,402097,빨간 해바라기,,406009,다이아몬드,100,,,,,,
,,,402098,주황 해바라기,,406010,오팔,100,,,,,,
,,,402099,노란 해바라기,,407001,원목,100,,,,,,
,,,402100,검은 해바라기,,407002,단단한 원목,100,,,,,,
,,,402101,하얀 해바라기,,407003,철목 원목,100,,,,,,
,,,402102,,,407004,고대 원목,100,,,,,,
,,,402103,,,407005,신목 원목,100,,,,,,
,,,403001,돌,,407006,세계수 원목,100,,,,,,
,,,403002,동 광석,,408001,목재,100,,,,,,
,,,403003,철 광석,,408002,단단한 목재,100,,,,,,
,,,403004,은 광석,,408003,철목 목재,100,,,,,,
,,,403005,금 광석,,408004,고대 목재,100,,,,,,
,,,403006,백금 광석,,408005,신목 목재,100,,,,,,
,,,403007,아다만티움 광석,,408006,세계수 목재,100,,,,,,
,,,403008,오리할콘 광석,,409001,잡초,100,,,,,,
,,,404001,동 주괴,,409002,억새초,100,,,,,,
,,,404002,철 주괴,,409003,아름답초,100,,,,,,
,,,404003,은 주괴,,409004,마력초,100,,,,,,
,,,404004,금 주괴,,409005,환상초,100,,,,,,
,,,404005,백금 주괴,,409006,신령초,100,,,,,,
,,,404006,아다만티움 주괴,,409007,시든 작물,100,,,,,,
,,,404007,오리할콘 주괴,,501001,시안 카트리지,100,,,,,,
,,,405001,루비 원석,,501002,마젠타 카트리지,100,,,,,,
,,,405002,호박 원석,,501003,옐로 카트리지,100,,,,,,
,,,405003,토파즈 원석,,501004,블랙 카트리지,100,,,,,,
,,,405004,에메랄드 원석,,501005,마법 잉크,100,,,,,,
,,,405005,사파이어 원석,,501006,기본 리본,100,,,,,,
,,,405006,자수정 원석,,501007,천 ,100,,,,,,
,,,405007,모가나이트 원석,,501008,비닐,100,,,,,,
,,,405008,옵시디언 원석,,501009,종이,100,,,,,,
,,,405009,다이아몬드 원석,,501010,철사,100,,,,,,
,,,405010,오팔 원석,,501011,마끈,100,,,,,,
,,,406001,루비,,,,,,,,,,
,,,406002,호박,,,,,,,,,,
,,,406003,토파즈,,,,,,,,,,
,,,406004,에메랄드,,,,,,,,,,
,,,406005,사파이어,,,,,,,,,,
,,,406006,자수정,,,,,,,,,,
,,,406007,모가나이트,,,,,,,,,,
,,,406008,옵시디언,,,,,,,,,,
,,,406009,다이아몬드,,,,,,,,,,
,,,406010,오팔,,,,,,,,,,
,,,407001,원목,,,,,,,,,,
,,,407002,단단한 원목,,,,,,,,,,
,,,407003,철목 원목,,,,,,,,,,
,,,407004,고대 원목,,,,,,,,,,
,,,407005,신목 원목,,,,,,,,,,
,,,407006,세계수 원목,,,,,,,,,,
,,,408001,목재,,,,,,,,,,
,,,408002,단단한 목재,,,,,,,,,,
,,,408003,철목 목재,,,,,,,,,,
,,,408004,고대 목재,,,,,,,,,,
,,,408005,신목 목재,,,,,,,,,,
,,,408006,세계수 목재,,,,,,,,,,
,,,409001,잡초,,,,,,,,,,
,,,409002,억새초,,,,,,,,,,
,,,409003,아름답초,,,,,,,,,,
,,,409004,마력초,,,,,,,,,,
,,,409005,환상초,,,,,,,,,,
,,,409006,신령초,,,,,,,,,,
,,,409007,시든 작물,,,,,,,,,,
,,,501001,시안 카트리지,,,,,,,,,,
,,,501002,마젠타 카트리지,,,,,,,,,,
,,,501003,옐로 카트리지,,,,,,,,,,
,,,501004,블랙 카트리지,,,,,,,,,,
,,,501005,마법 잉크,,,,,,,,,,
,,,501006,기본 리본,,,,,,,,,,
,,,501007,천 ,,,,,,,,,,
,,,501008,비닐,,,,,,,,,,
,,,501009,종이,,,,,,,,,,
,,,501010,철사,,,,,,,,,,
,,,501011,마끈,,,,,,,,,,
